MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings,generated_sequence,score
499.5650000000002,2.517200000000001,7,7,223.14,11,0.12570405867374798,5.737982888700259,1,C/C=C1/CC[C@H](C)[C@H](OC(N)=NC(O)CCCCCN=C(O)O)C(O)=N[C@@H](CCC(=O)O)C(O)=N1,-0.006934789109987837
503.59300000000025,2.5038,9,6,193.98999999999998,10,0.0853215072885224,5.622349587055961,1,CO[C@@H]1CCC[C@H](C)[C@H](OC(O)=NCCC[C@@H](O)/C(C)=N\O)[C@@H](CCC(=O)O)C(O)=NC(O)[C@@H]1C,-0.007344998025868154
494.49700000000036,2.4986000000000006,10,5,187.7,2,0.3017406126802504,5.0970556321464375,2,COC(=O)C[C@H](N=C(O)OCC(=O)OC(O)=NC1)Cc2cc(O)c(O)c(O)c2C(C)=CC[C@H](C)C1,-0.011020237565496674
493.5530000000003,2.5024000000000006,9,5,162.62,6,0.22599109146646562,4.949507367033408,2,CCCCNc1cc(O)c2c(c1)[C@H](C)C(=O)[C@H](O)[C@H](O)/C=C\C[C@@H](CC(=O)O)OC(=O)C[C@@H](C)O2,-0.01292968816329249
496.5650000000003,2.472300000000001,8,7,222.87000000000003,11,0.13544307953098342,6.286840607785783,2,C[C@H](C)[C@H](O)[C@@H]1N=C(O)c2coc(n2)[C@@H](CCCCN=C(O)O)N=C(O)[C@H](CCCCN)N=C1O,-0.013036997353684741
500.59300000000036,2.536500000000001,7,7,208.11999999999998,10,0.1342573892659265,5.550998865009116,1,C[C@@H]1N=C(O)CCCCC[C@H](N=C(O)CC(O)C(O)=NCCCCC(=O)O)C(C(O)=NC1)C(O)C,-0.014648091889390044
507.4960000000003,2.499299999999999,8,6,204.07999999999998,7,0.3179333618460498,4.832668833995319,2,CCOC(=O)Nc1cc(O)c2c(c1)/C=C/C[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(=O)O)O2,-0.014994614499880266
501.5770000000001,2.4602000000000013,7,7,204.98999999999998,8,0.08557522779506474,5.936169717988857,1,CC[C@@H](C)[C@@H]1N=C(O)[C@@H](C)CC(O)[C@@H](CCCCN=C(O)O)OC(=O)C[C@@H](N=C(O)O)[C@@H](O)C=C1,-0.01622942130822862
489.5910000000002,2.4828000000000006,7,6,192.60000000000002,10,0.1518072585752913,5.44189563154185,1,CCCCN=C(O)[C@@H]1CSC[C@H](CCC)[C@H](O)[C@@H](CC(=O)O)C(O)=N[C@@H](CC(=O)O)C(O)=N1,-0.021925408183201104
506.55200000000025,2.4544000000000006,8,6,189.47,7,0.30164184736197325,5.447986653951132,2,CCOC(C)C1CCCC(=O)C(Cc2cc(O)cc(O)c2C(O)=N[C@@H](CC(=O)O)C(O)=N1)C(O)C=C,-0.022459127676737682
502.6050000000003,2.4434000000000013,7,6,185.98,7,0.13152997302359373,4.7038358303834364,1,CC(C)CCNC(=O)[C@@H]1CC[C@H](CC(=O)O)OC(=O)C[C@@H](N=C(O)O)[C@@](O)(O)C[C@H](C)CCCC1,-0.02323173906533865
495.52900000000045,2.5549999999999997,9,6,204.48999999999998,5,0.15229471870614458,4.9038088524704815,2,C[C@H]1OC(=O)c2cc(O)cc(O)c2CN=C(O)[C@H](N=C(O)O)CCCC[C@H](CCCCN)OC1=O,-0.023747828616527848
490.5900000000003,2.4597999999999995,8,5,170.82,9,0.2387501589018303,4.9315034275379395,1,CCC[C@H](C)C[C@@H](O)[C@H]1CC[C@H](CCC(=O)O)OC(=O)[C@](O)(O)[C@@H](C)CCCC[C@@H](C(=O)O)O1,-0.024753965338910496
490.5130000000002,2.4579999999999993,9,5,183.62,5,0.13594836313371894,4.8443426277741235,2,COC(=O)[C@@H]1CCCC[C@H](NC(=O)/C=C/c2cc([N+](=O)[O-])cc(O)c2O)C(C)=CN[C@@H](C)C(O)=N1,-0.025342704591262432
500.5890000000003,2.5665000000000004,8,7,192.63,7,0.20310362896920975,5.6295595597981976,1,COC(CC)C(O)=C1CCC=C(C(O)C(O)CC(O)CC(O)=NC(CCC(=O)O)C(O)=N1)C(C)C,-0.026626071508955483
503.59300000000025,2.565100000000002,8,6,186.15,8,0.09511772764058678,5.702076439113042,1,COC(O)[C@H]1OCCCCC[C@H](N=C(O)OCCCCN=C(O)O)C(O)=NC(O)C=C[C@H](C)[C@H]1C,-0.02701333367061621
513.5400000000004,2.482200000000001,9,7,206.56999999999996,5,0.17281305043140988,4.992273214665821,2,C[C@@H]1O[C@H](CCCC(=O)O)c2cc(O)cc(O)c2C(=O)OC[C@@H](N=C(O)O)CCCCC[C@H](O)[C@@H]1O,-0.028000371426108603
513.5400000000003,2.4653,10,6,195.57,11,0.18776921594423088,5.176938520788271,2,CCC[C@@H]1N=C(O)CC(O)c2cc(OCCCC(O)CO)cc(O)c2C(=O)O[C@@H]1C[C@H](C)OC(=O)O,-0.03042993263219675
501.6210000000004,2.5756700000000015,9,5,170.76,13,0.11005279220754312,5.4464260798013004,1,CC[C@@H]1CC(=O)O[C@H](C)[C@H](OC(O)=NC(O)CCCCCCCCNC(=N)[C@@H](C)O)C(=O)O[C@@H]1C,-0.03044112987390646
487.56100000000026,2.545,8,6,177.48999999999998,8,0.14124052630701375,6.194023701131541,3,CNCCC[C@@H]1NC(=O)c2cc(ccn2)-c2coc(n2)[C@H](CCCN=C(O)NO)N=C(O)C[C@@H]1C,-0.03070691915513461
