generated_sequence,decoded_smiles,valid,novel,beam_logprob,MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings
C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)C=CC1=O)[C@@H](CCC(=O)OC)[C@@H]3C,C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)C=CC1=O)[C@@H](CCC(=O)OC)[C@@H]3C,True,False,-3.3760435581207275,746.865,5.664940000000006,9.0,3.0,176.43999999999997,11.0,0.1650261548510922,6.433968232049575,6.0
C=Cc1c(C)c2cc3nc(c(CC(=O)NCCN4C(=O)C=CC4=O)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)OC)[C@@H](CCC(=O)OC)[C@@H]3C,C=Cc1c(C)c2cc3nc(c(CC(=O)NCCN4C(=O)C=CC4=O)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)OC)[C@@H](CCC(=O)OC)[C@@H]3C,True,False,-3.8393828868865967,746.8649999999999,5.664940000000006,9.0,3.0,176.43999999999997,11.0,0.1650261548510922,6.412106794802613,6.0
CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)OC)c(C(=O)NCCN(C)C)c3C(=O)OC,CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)OC)c(C(=O)NCCN(C)C)c3C(=O)OC,True,True,-4.587491035461426,756.901,5.757120000000005,11.0,3.0,185.67000000000002,12.0,0.11600746036469402,6.584502541234976,5.0
C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)C=CC1SC[C@H](N)C(=O)OC)[C@@H]3C,C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)C=CC1SC[C@H](N)C(=O)OC)[C@@H]3C,True,True,-4.805271148681641,765.937,5.009240000000004,10.0,4.0,185.39,12.0,0.18288077509096354,6.91747672565297,7.0
C=Cc1c(C)c2cc3nc(c(CC(=O)NCCN4C(=O)C=CC4=O)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)OC)[C@@H]3C,C=Cc1c(C)c2cc3nc(c(CC(=O)NCCN4C(=O)C=CC4=O)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)OC)[C@@H]3C,False,False,-4.836456298828125,,,,,,,,,
C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)C=CC1S(=O)(=O)OC)c3C,C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)NCCN1C(=O)C=CC1S(=O)(=O)OC)c3C,False,False,-4.915440082550049,,,,,,,,,
CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)OC)c(C(=O)NCCN(C)C)c3C(=O)NC,CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)OC)c(C(=O)NCCN(C)C)c3C(=O)NC,True,True,-5.942360877990723,755.9169999999999,5.330120000000004,10.0,4.0,188.47000000000003,12.0,0.1390062289534937,6.618862233542668,5.0
CC[C@H]1c2cc3[nH]c4c(c3C)C(=O)[C@H](C(=O)OC)c4c3nc(cc4[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c4C)[C@@H](C)[C@@H]3CCC(=O)NCCS(=O)(=O)OC,CC[C@H]1c2cc3[nH]c4c(c3C)C(=O)[C@H](C(=O)OC)c4c3nc(cc4[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c4C)[C@@H](C)[C@@H]3CCC(=O)NCCS(=O)(=O)OC,True,True,-6.282376289367676,731.8720000000001,5.644340000000005,10.0,3.0,190.26999999999998,10.0,0.10177145568775786,6.810909006486988,6.0
CC[C@H]1c2cc3[nH]c4c(c3C)C(=O)[C@H](C(=O)OC)c4c3nc(cc4[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c4C)[C@@H](C)[C@@H]3CCC(=O)NCCS(=O)(=O)OC)[C@@H]3C,CC[C@H]1c2cc3[nH]c4c(c3C)C(=O)[C@H](C(=O)OC)c4c3nc(cc4[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c4C)[C@@H](C)[C@@H]3CCC(=O)NCCS(=O)(=O)OC)[C@@H]3C,False,False,-6.475398063659668,,,,,,,,,
CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)OC)cc3C)[C@@H](C)[C@@H](O)[C@@H](C)CC(=O)OC,CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)OC)cc3C)[C@@H](C)[C@@H](O)[C@@H](C)CC(=O)OC,False,False,-6.506126403808594,,,,,,,,,
