generated_sequence,decoded_smiles,valid,novel,MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings
COC(=O)[C@@H](CC[C@@H](O)[C@H](C)[C@H](O)[C@H]1OC(=O)C[C@H](C)[C@H](O)[C@H](C)C[C@H](C)[C@H](C)[C@@H](C)C(O)[C@@H](O)C(O)[C@@H]1O,COC(=O)[C@@H](CC[C@@H](O)[C@H](C)[C@H](O)[C@H]1OC(=O)C[C@H](C)[C@H](O)[C@H](C)C[C@H](C)[C@H](C)[C@@H](C)C(O)[C@@H](O)C(O)[C@@H]1O,False,False,,,,,,,,,
CO[C@@H]1/C=C/c2cc(O)cc(O)c2-c2cccc(NC(=O)O)c(c2O)[C@@H](N=C(O)[C@H](CCCCN)N=C(O)NO)c1,CO[C@@H]1/C=C/c2cc(O)cc(O)c2-c2cccc(NC(=O)O)c(c2O)[C@@H](N=C(O)[C@H](CCCCN)N=C(O)NO)c1,False,False,,,,,,,,,
CCCC[C@H]1CC(=O)O[C@@H](C)[C@H](O)[C@H](C)C[C@H](C)[C@H](O)[C@@H](CCCCC(=O)O)OC(=O)C[C@H](O)[C@@H](O)[C@@H]1C,CCCC[C@H]1CC(=O)O[C@@H](C)[C@H](O)[C@H](C)C[C@H](C)[C@H](O)[C@@H](CCCCC(=O)O)OC(=O)C[C@H](O)[C@@H](O)[C@@H]1C,True,True,546.6980000000003,2.8171,9.0,5.0,170.82,8.0,0.22516585479053378,5.349858155565247,1.0
CO[C@H]1CC[C@H](C)C[C@H](OC(=N)/N=C(\O)[C@@H](N=C(O)OC(O)=NO)[C@@H](C)C(=O)C[C@H](C)C[C@H](C)C[C@@H]1C,CO[C@H]1CC[C@H](C)C[C@H](OC(=N)/N=C(\O)[C@@H](N=C(O)OC(O)=NO)[C@@H](C)C(=O)C[C@H](C)C[C@H](C)C[C@@H]1C,False,False,,,,,,,,,
COC(=O)[C@@H](N=C(O)[C@@H](C)C(=O)O[C@@H]1Cc2cc(O)cc(O)c2C(C)=CCCCC(=O)O[C@@H](c2ccccc2O)[C@H]1O,COC(=O)[C@@H](N=C(O)[C@@H](C)C(=O)O[C@@H]1Cc2cc(O)cc(O)c2C(C)=CCCCC(=O)O[C@@H](c2ccccc2O)[C@H]1O,False,False,,,,,,,,,
CO/N=C1\C[C@@H](C)C[C@H](C)[C@H](O)[C@@H](C)C[C@H](C)[C@@H](CCCCCC)OC(=O)C[C@@H](O)[C@@H](O)C(O)=N1)CC(=O)O,CO/N=C1\C[C@@H](C)C[C@H](C)[C@H](O)[C@@H](C)C[C@H](C)[C@@H](CCCCCC)OC(=O)C[C@@H](O)[C@@H](O)C(O)=N1)CC(=O)O,False,False,,,,,,,,,
C[C@@H](O)[C@@H]1CCCC[C@H](CC(=O)NCCCCC(=O)O)[C@@H](C)/C=C/[C@H](C)[C@H](O)[C@@H](C)OC(=O)C[C@H](O)[C@@H](O)[C@@H]1C,C[C@@H](O)[C@@H]1CCCC[C@H](CC(=O)NCCCCC(=O)O)[C@@H](C)/C=C/[C@H](C)[C@H](O)[C@@H](C)OC(=O)C[C@H](O)[C@@H](O)[C@@H]1C,True,True,571.7520000000003,2.8038000000000025,8.0,6.0,173.62,8.0,0.1454188557935539,5.330817347916767,1.0
CO[C@H](CC(=O)O)[C@@H](NC(=O)O[C@H](CC(=O)O)C(C)=CCC(O)C=C[C@@H](C)C[C@@H](O)c2cc(O)c(O)c1c2,CO[C@H](CC(=O)O)[C@@H](NC(=O)O[C@H](CC(=O)O)C(C)=CCC(O)C=C[C@@H](C)C[C@@H](O)c2cc(O)c(O)c1c2,False,False,,,,,,,,,
CCCCCC[C@H]1CCCCC(=O)c2c(O)c(O)cc(O)c2C(=O)O[C@H]([C@@H](O)CC)C(=O)O[C@H](CC(=O)O)[C@@H]1C,CCCCCC[C@H]1CCCCC(=O)c2c(O)c(O)cc(O)c2C(=O)O[C@H]([C@@H](O)CC)C(=O)O[C@H](CC(=O)O)[C@@H]1C,True,True,566.6440000000003,4.465600000000004,10.0,5.0,187.89,9.0,0.12276730219237654,4.953082466505906,2.0
COCC(O)=C1C(C)C(OC(N)=N)CC(O)C(C)C(C)=CC(C)C(OC)C(C)C(OC(N)=O)C=C(C)C1C,COCC(O)=C1C(C)C(OC(N)=N)CC(O)C(C)C(C)=CC(C)C(OC)C(C)C(OC(N)=O)C=C(C)C1C,True,True,539.7140000000003,4.0401700000000025,8.0,5.0,170.34,5.0,0.15074832974952845,5.977792883960028,1.0
