generated_sequence,decoded_smiles,valid,novel,beam_logprob,MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings
[C][C][C][=C][Branch1][C][C][C][=C][C][=N][C][=Branch2][=Branch1][#Branch2][=C][Branch1][Branch2][C][C][=Branch1][C][=O][O][C][C][=N][C][=Branch2][Ring1][=Branch2][=C][C][NH1][C][Branch1][#Branch2][C][=C][Ring2][Ring1][#Branch1][NH1][Ring2][Ring1][Branch1][=C][Branch1][C][C][C][=Ring1][=Branch2][C][C][C][Branch1][C][C][=C][Ring2][Ring1][C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][C][C][Branch1][N][S][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][Ring1][=N][=O][C@@H1][Branch1][=Branch2][C][C][C][=Branch1][C][=O][O][C][C@@H1][Ring2][Branch1][=Branch1][C],CCC1=C(C)C2=CC=NC(=C(CC(=O)OC)C3=NC(=CC=4[NH1]C(C=C1[NH1]2)=C(C)C=4CC)C(C)=C3C(=O)NCCN5C(=O)CCSC[C@H1](N)C(=O)O)C5=O,True,True,-5.2030863761901855,743.887,4.023040000000002,10,5,213.45999999999998,10,0.1477639295785383,6.051377290628878,5
[C][C][=Branch1][C][=O][N][C][N+1][=C][C][=C][Branch2][Branch2][Branch2][C][=C][N][=C][Branch2][#Branch1][N][C][Branch2][Ring1][C][C][=C][C][=N+1][Branch1][Branch2][C][O][C][Branch1][C][C][=O][C][=C][Ring1][O][=C][C][=C][C][Branch1][Ring2][NH1][Ring1][Branch1][=C][Branch2][Ring1][C][C][=C][C][=N+1][Branch1][Branch2][C][O][C][Branch1][C][C][=O][C][=C][Ring1][O][C][=C][C][=C][Branch1][Ring2][NH1][Ring1][Branch1][C][Branch2][Ring1][C][C][=C][C][=N+1][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][Ring1][O][=C][N][=C][Ring2][Branch1][Branch1][C][=C][Ring1][Branch1][C][=C][Ring2][Branch1][Branch2][C][=C][Ring2][Branch1][#C],CC(=O)NC1[N+1]=CC=C(C2=CN=C(C(C3=CC=[N+1](COC(C)=O)C=C3)=C4C=CC([NH1]4)=C(C5=CC=[N+1](COC(C)=O)C=C5)C6=CC=C([NH1]6)C7(C=CC=[N+1](COC(N)=O)C7=C8)N=CC=C8C)C2C)C1,True,True,-5.3701252937316895,904.0209999999998,2.3946000000000076,10,4,215.19,13,0.08927564801108187,6.529621244185971,8
[C][C][C][=C][Branch1][C][C][C][=C][C][=N][C][=Branch2][=Branch1][O][=C][Branch1][Branch2][C][C][=Branch1][C][=O][O][C][C][=N][C][=Branch2][Ring1][=Branch2][=C][C][NH1][C][Branch1][#Branch2][C][=C][Ring2][Ring1][#Branch1][NH1][Ring2][Ring1][Branch1][=C][Branch1][C][C][C][=Ring1][=Branch2][C][C][C][Branch1][C][C][=C][Ring2][Ring1][C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][C][C][Branch1][N][S][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][Ring1][=N][=O][C@@H1][Branch1][=Branch2][C][C][C][=Branch1][C][=O][O][C][C@@H1][Ring2][Branch1][=Branch1][C],CCC1=C(C)C2=CC=NC(=C(CC(=O)OC)C3=NC(=CC=4[NH1]C(C=C1[NH1]2)=C(C)C=4CC)C(C)=C3C(=O)NCCN5C(=O)CCSC[C@H1](N)C(=O)O)C5=O,True,True,-5.4367523193359375,743.887,4.023040000000002,10,5,213.45999999999998,10,0.1477639295785383,6.051377290628878,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C][C][N+1][Branch1][C][C][Branch1][C][C][C],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C)C)C5=N/C(=C\2)[C@@H1](C)[C@@H1]5CCC(=O)OC(=O)NCC[N+1](C)(C)C,True,True,-6.1997785568237305,870.0849999999996,7.342840000000008,9,6,217.48999999999995,14,0.040992376898255085,6.677867916984367,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][C][N+1][Branch1][C][C][Branch1][C][C][C][Ring2][Ring2][#C][Branch1][C][C][O],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C)C)C5=N/C(=C\2)[C@@H1](C)[C@@H1]5CCC(=O)OC[N+1](C)(C)C(C)O,True,True,-6.4195051193237305,843.0589999999997,7.299240000000009,9,6,208.61999999999995,14,0.04130883980253304,6.871382986952064,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][=Branch2][C][C@@][Branch1][C][C][Branch1][C][O][C][=Branch1][C][=O][N][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=Ring2][Branch1][#Branch2],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C5)C)C=N/C(=C\2)[C@@H1](C)[C@@H1]5C[C@@](C)(O)C(=O)NCCS(=O)(=O)OC,True,True,-6.628573417663574,892.0889999999998,5.739940000000007,11,7,254.78999999999994,10,0.12039749988450642,7.243212240547275,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C][=Branch1][C][=O][N][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=Ring2][Branch1][Ring1][C],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C)C)C5=N/C(=C\2)[C@@H1](C)[C@@H1]5CCC(=O)NCCS(=O)(=O)OCC,True,True,-6.800901412963867,876.0899999999997,6.866340000000007,10,6,234.55999999999995,16,0.06420964357695626,6.565606757895532,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C][C][S+1][Branch1][C][C][O],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C)C)C5=N/C(=C\2)[C@@H1](C)[C@@H1]5CCC(=O)OC(=O)NCC[S+1](C)O,True,True,-6.801392078399658,875.0819999999998,7.357740000000008,10,7,237.71999999999994,14,0.03656253964586389,6.971255204305387,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C][=Branch1][C][=O][N][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=Ring2][Branch1][Ring1],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C)C)C5=N/C(=C\2)[C@@H1](C)[C@@H1]5CCC(=O)NCCS(=O)(=O)OC,True,True,-6.877435684204102,862.0629999999998,6.476240000000006,10,6,234.55999999999995,15,0.07151798685859126,6.538913245826375,5
[C][C][C][=C][Branch1][C][C][C][=N][C][Ring1][=Branch1][=C][C][NH1][C][=Branch1][#Branch2][=C][Branch1][Ring1][C][C][C][=Ring1][#Branch1][C][/C][=C][\NH1][/C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][Branch2][C][=C][Branch2][Ring1][#Branch1][/C][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=N][/C][=Branch1][Branch1][=C][-\Ring2][Ring2][=Branch2][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][C@@][Branch1][C][C][Branch1][C][O][C@@H1][Ring2][Ring2][#C][C],CCC1=C(C)C2=NC1=CC=3[NH1]C(=C(CC)C=3C)/C=C4\[NH1]/C(C(C(=O)O)=C4C)=C(/CC(=O)NCCNC(=O)OC(C)(C)C)C5=N/C(=C\2)[C@@H1](C)[C@@H1]5CCC(=O)O[C@@](C)(O)[C@@H1]C,True,True,-6.932062149047852,812.0009999999999,7.85973000000001,9,6,208.61999999999995,13,0.05593359422024565,6.794896879013174,5
