generated_sequence,decoded_smiles,valid,novel,MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings
[C][C][C@H1][Branch1][C][O][C@H1][Branch1][C][C][C][=Branch1][C][=O][C@@H1][Branch1][C][O][C][/C][=C][\C][=C][Branch1][C][O][C@H1][Branch1][C][O][C][C][C][C][C@H1][Branch1][C][O][C][C][C][C@H1][Branch1][#Branch1][O][C][Branch1][C][N][=O][C@@H1][Branch1][C][O][C][C][C][=Branch1][C][=O][O][Ring2][Ring1][O],CC[C@H1](O)[C@H1](C)C(=O)[C@@H1](O)C/C=C1\C=C(O)[C@H1](O)CCCC[C@H1](O)CCC[C@H1](OC(N)=O)[C@@H1](O)CCC(=O)O1,True,True,559.6530000000005,1.6536000000000006,11,7,217.07,7,0.2224250192596151,5.548598587155325,1
[C][O][C][Branch1][C][O][=N][C][=C][C][=C][Branch1][C][O][C][C][C][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][Branch2][C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O][C][Branch1][C][O-1][C][Branch1][C][O][C][=Branch1][C][=O][O][=C][Ring2][Ring1][S],COC(O)=NC=CC1=C(O2)CCC=C(O)C(=C2)CC(O)=CC(O)=CC(=O)OCC(=O)OC([O-1])C(O)C(=O)OC1,True,True,552.4650000000003,0.4152000000000011,14,5,233.92999999999995,2,0.13512361153556068,6.548138998743658,2
[C][C][C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][C][C][C][C][Branch1][C][O][C][=Branch1][C][=O][O][C][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][O][C][=C][Branch1][C][O][C][C][=Branch1][C][=O][O][Ring2][Ring2][Branch1],CC12CC(O)=CC(O)=C1C(O)C(O)C(C)CCC(O)C(=O)OC(O)C(C)(C)CCC(O)C=C(O)CC(=O)O2,True,True,544.5940000000004,1.3194999999999997,12,8,214.43999999999997,0,0.20271315173184926,6.006416250564258,2
[C][O][C][Branch1][C][O][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][C@H1][Branch1][C][C][C@H1][Branch1][C][O][C][C][C][C][=Branch1][C][=O][O][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][C][C][C][=Branch1][C][=O][O][C][Ring2][Ring1][O],COC(O)C1C=CC=C(O)C(O)=C1C(=O)O[C@H1](C)[C@H1](O)CCCC(=O)O[C@@H1](CC(=O)O)CCCCC(=O)OC,True,True,558.5770000000005,1.9739999999999998,12,5,206.34999999999997,17,0.07497939212610005,4.6595829798332655,1
[C][C][C][Branch1][C][O][C][Branch1][C][C][C][Branch1][C][O][C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][O][C][Branch1][C][O][=C][Branch1][Ring1][O][C][=Branch1][C][=O][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][O][=N][Ring2][Ring1][#Branch1],CCC(O)C(C)C(O)C(C)C=C(C)C=C(O)C(C)=COC(O)=C(OC)C=O,True,True,384.4690000000001,3.2714000000000016,7,4,116.45000000000002,11,0.18689475761251378,5.034232341468114,0
[C][O][C][Branch1][C][O][=N][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][=N][C][C][C][C][C][Branch1][C][O][=N][C][C][C][C][Branch1][C][O][=N][C][C][C][C][C][Branch1][#Branch1][O][C][=Branch1][C][=O][O][=C][Branch1][C][O][C][O][C][=C][C][Ring2][Ring1][Branch2][=N][Ring1][Branch2],COC(O)=N[C@H1](O)[C@@H1](O)NCCCCC(O1)=NCCCC(O)=NCCCCC(OC(=O)O)=C(O)COC=CC1=N,True,True,573.6000000000004,2.2509699999999997,13,8,248.32999999999996,9,0.0650075444225968,5.584831751788903,1
[C][O][C][Branch1][C][O][=N][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C@H1][Branch1][C][O][C@H1][Branch1][=N][C][C][=Branch1][C][=O][O][C][=N][C][C][C][C][C][C@H1][Branch1][C][C][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O][=N][Ring2][Ring1][Branch2],COC(O)=NC1=CC(O)=CC=C1CC(=O)O[C@@H1](C)[C@H1](O)[C@H1](CC(=O)OC=NCCCC)C[C@H1](C)[C@@H1](O)C(=O)ON,True,True,569.6080000000003,1.6011000000000006,13,5,219.79,16,0.0629842825882083,5.1560755494327,1
[C][=C][C][Branch1][C][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C@@H1][Branch1][C][C][C@@H1][Branch1][Ring1][O][C][=Ring1][Branch1][=N][O][C][=Branch1][C][=O][O][C][C][C@H1][Branch1][C][O][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][O][=C][Ring2][Ring1][=N],C=CC(O)C[C@H1](O)[C@@H1](O)CCCCCCC1C[C@@H1](C)[C@@H1]1OC,True,True,314.46599999999995,2.6568000000000005,4,3,69.92,12,0.38249890228672834,4.318956797206496,1
[C][C][Branch1][C][C][C@H1][Branch1][C][O][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][S][C][Ring2][Ring1][N][=N][O],CC(C)[C@H1](O1)CC(O)=CC(O)=C1C(=O)O[C@H1](O)[C@H1](C(=O)OC)C=O,True,True,344.3160000000001,0.49249999999999966,9,3,139.59,6,0.2716672029494072,4.7236894952792845,1
[C][O][C][Branch1][C][O][=N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][O][N][Branch1][C][O][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][C][C@H1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][N],COC(O)=NC1=CC=C(O)C=C1C(=O)ON(O)[C@@H1](CC(=O)O)C(=O)OCC[C@H1](C2)CCC(=O)NC=C(O)C(O)=C2,True,True,567.5040000000005,1.8812999999999998,13,7,244.97999999999996,10,0.09234432581101754,5.101243321721574,2
